broker_id,broker_name_master,city
989N,元大-內湖,台北市
989P,元大-敦南,台北市
989Q,元大-汐止,新北市
989S,元大-鹿港,彰化縣
989U,元大-大甲,台中市
989V,元大-北三重,新北市
989W,元大-豐原站前,台中市
989X,元大-民生三民,台北市
989Y,元大-基隆,基隆市
989Z,元大-小港,高雄市
989a,元大-苑裡,苗栗縣
989d,元大-北屯,台中市
989e,元大-中和,新北市
989f,元大-東港,屏東縣
989g,元大-嘉義,嘉義市
989j,元大-樹林,新北市
989k,元大-古亭,台北市
989m,元大-信義,台北市
989z,元大-國際證券,台北市
9A00,永豐金,台北市
9A61,永豐金-鳳山,高雄市
9A69,永豐金-屏東,屏東縣
9A79,永豐金-埔里,南投縣
9A81,永豐金-匯立,台北市
9A88,永豐金-國際證券,台北市
9A89,永豐金-敦北,台北市
9A8F,永豐金-敦南,台北市
9A91,永豐金-松山,台北市
9A92,永豐金-萬盛,台北市
9A97,永豐金-新竹,新竹市
9A98,永豐金-大園,桃園市
9A99,永豐金-中壢,桃園市
9A9A,永豐金-羅東,宜蘭縣
9A9B,永豐金-中和,新北市
9A9C,永豐金-員林,彰化縣
9A9D,永豐金-忠孝,台北市
9A9G,永豐金-天母,台北市
9A9H,永豐金-新莊,新北市
9A9J,永豐金-板新,新北市
9A9K,永豐金-三重,新北市
9A9L,永豐金-台中,台中市
9A9M,永豐金-南投,南投縣
9A9N,永豐金-桃盛,桃園市
9A9P,永豐金-竹北,新竹縣
9A9Q,永豐金-豐原,台中市
9A9R,永豐金-信義,台北市
9A9S,永豐金-南京,台北市
9A9U,永豐金-中正,台北市
9A9W,永豐金-市政,台中市
9A9X,永豐金-竹科,新竹市
9A9Y,永豐金-板盛,新北市
9A9Z,永豐金-復興,台北市
9A9a,永豐金-苓雅,高雄市
9A9b,永豐金-虎尾,雲林縣
9A9c,永豐金-永康,台南市
9A9d,永豐金-古亭,台北市
9A9e,永豐金-高雄,高雄市
9A9g,永豐金-內湖,台北市
9A9h,永豐金-台南,台南市
9A9i,永豐金-新店,新北市
9A9j,永豐金-嘉義,嘉義市
9A9q,永豐金-潮州,屏東縣
9A9r,永豐金-北高雄,高雄市
9A9s,永豐金-彰化,彰化市
9A9x,永豐金-桃園,桃園市
9B00,元富,台北市
9B21,元富-高雄,高雄市
9B22,元富-新店,新北市
9B23,元富-三重,新北市
9B25,元富-台中,台中市
9B27,元富-林園,高雄市
9B28,元富-新莊,新北市
9B29,元富-台南,台南市
9B2A,元富-緯城,高雄市
9B2B,元富-永和,新北市
9B2C,元富-潮州,屏東縣
9B2D,元富-大昌,高雄市
9B2E,元富-城中,台北市
9B2G,元富-新竹,新竹市
9B2H,元富-信義,台北市
9B2I,元富-嘉義,嘉義市
9B2L,元富-中壢,桃園縣
9B2M,元富-彰化,彰化市
9B2N,元富-虎尾,雲林縣
9B2P,元富-同大,高雄市
9B2Q,元富-敦南,台北市
9B2S,元富-基隆,基隆市
9B2U,元富-宜蘭,宜蘭縣
9B2W,元富-吉利,台北市
9B2X,元富-草屯,南投縣
9B2Y,元富-埔里,南投縣
9B2Z,元富-安南,台南市
9B2a,元富-松德,台北市
9B2b,元富-板橋,新北市
9B2c,元富-烏日,台中縣
9B2f,元富-國際證券,台北市
9B2g,元富-中原,台中市
9B2i,元富-中港,台中市
9B2l,元富-大裕,台中市
9B2m,元富-成功,台南市
9B2n,元富-西松,台北市
9B2o,元富-新興,高雄市
9B2q,元富-屏東,屏東市
9B2r,元富-城東,台北市
9B2u,元富-世貿,台北市
9B2v,元富-桃園,桃園縣
9B2w,元富-佳里,台南市
9B2y,元富-花蓮,花蓮市
9B2z,元富-文心,台中市
