公司代號,公司簡稱,產業別,住址,發言人,實收資本額,已發行普通股數
7715,裕山,35,高雄市三民區民族一路80號30樓之二,官長勝,"$337,345,000","33,734,500"
7716,昱臺國際,15,台北市中山區南京東路三段28號4樓,蕭家辭,"$225,000,000","22,500,000"
7717,萊德光電-KY,27,新北市中和區中正路872號15樓之1,沈培生,"$247,776,980","24,777,698"
7718,友鋮,10,台南市東區東門路一段358號9樓之4,張棟卿,"$463,564,840","46,356,484"
7723,築間,16,台中市西屯區臺灣大道三段789號14樓之2,高偉傑,"$506,195,500","50,619,550"
7728,光焱科技,31,高雄市路竹區路科五路96號1樓,廖清霖,"$138,540,800","13,854,080"
7734,印能科技,24,新竹市香山區大湖路173號,蘇桓平,"$280,000,000","28,000,000"
7738,東聯互動,36,新北市土城區中央路四段51號7樓-1,吳侑勳,"$273,557,990","27,355,799"
7743,金利食安,2,屏東縣屏東市前進里5鄰園西街15號,殷豪,"$364,833,380","36,483,338"
7744,崴寶,28,臺中市西屯區市政北七路186號11樓之9,范崇德,"$320,000,000","32,000,000"
7747,昕奇雲端,36,臺北市內湖區瑞光路76巷33號2樓,黃國&#23791;,"$274,260,000","27,426,000"
7751,竑騰,24,高雄市楠梓區經六路61號,羅亦淞,"$268,886,000","26,888,600"
7753,星亞,26,新竹科學園區新竹市力行五路1號8樓,李柏龍,"$250,000,000","25,000,000"
7757,金色三麥,16,新北市三重區新北大道2段260號,葉淑芬,"$241,000,000","24,100,000"
7767,仁大資訊,30,新北市五股區五工三&#63799;118 號,陳宏明,"$301,000,000","30,100,000"
7770,君曜,24,新竹市東區光復路二段2巷49-1號2樓,江佳蓁,"$300,620,530","30,062,053"
7777,能率亞洲,20,台北市南京東路三段248號6樓之2,游智元,"$1,825,000,000","182,500,000"
7782,光速火箭,38,新北市新莊區新北大道二段217號8F,蘇志和,"$232,130,000","23,213,000"
7792,安葆,31,新北市新店區北新路三段207-5號5樓,陳志復,"$426,720,000","42,672,000"
