公司代號,公司簡稱,產業別,住址,發言人,實收資本額,已發行普通股數
8271,宇瞻,24,新北市土城區大安里忠承路32號1樓,賴孜玟,"$1,281,292,660","128,129,266"
8341,日友,35,雲林縣元長鄉元東路1之20號,謝明宏,"$1,300,000,000","130,000,000"
8367,建新國際,15,台中市梧棲區臺灣大道十段一號,柯勝鐘,"$921,720,310","92,172,031"
8374,羅昇,5,新北市新莊區中原路558號12樓,陳國美,"$1,122,504,870","112,250,487"
8404,百和興業-KY,20,"P.O.BOX 32052,Grand Cayman KYI-1208,Cayman Islands.",張玉敏,"$4,199,338,840","419,933,884"
8411,福貞-KY,20,"The Grand Pavilion Commercial Centre, Oleander Way, 802 West",李毓嵐,"$2,184,043,190","218,404,319"
8422,可寧衛*,35,高雄市岡山區中山南路308號1樓,陳聰田,"$1,136,796,050","1,136,796,050"
8429,金麗-KY,18,高雄市三民區博愛一路189號11樓(台灣辦事處),庄春龍,"$1,857,471,510","185,747,151"
8438,昶昕,35,33759 桃園市大園區大工路19號,陳彥亨,"$699,430,000","69,943,000"
8442,威宏-KY,20,"P. O. Box 31119 Grand Pavilion, Hibiscus Way, 802 West Bay R",許新居,"$701,697,640","70,169,764"
8443,阿瘦,18,(104)台北市中山區松江路168號6樓,羅麗玲,"$668,000,000","66,800,000"
8454,富邦媒,36,台北市內湖區洲子街96號4樓,谷元宏,"$2,649,752,750","264,975,275"
8462,柏文,37,高雄市左營區博愛四路238號8樓,繆尚志,"$792,920,630","79,292,063"
8463,潤泰材,20,台北市八德路2段308號10F,林依潔,"$1,500,000,000","150,000,000"
8464,億豐,38,臺中市西屯區市政北七路98號26樓之1,祝宗偉,"$2,930,202,000","293,020,200"
8466,美吉吉-KY,20,"The Grand Pavilion Commercial Centre, Oleander Way, 802 West",黃建&#21414;,"$798,256,280","79,825,628"
8467,波力-KY,37,"PO Box 309, Ugland House, Grand Cayman, KY1-1104, Cayman Isl",戴珮君,"$503,735,750","50,373,575"
8473,山林水,35,台北市吉林路99號3樓,楊欣紋,"$1,808,524,180","180,852,418"
8476,台境*,35,高雄市苓雅區中正二路175號30樓之1,龔信愷,"$831,131,790","166,226,358"
8478,東哥遊艇,37,高雄市前鎮區金福路1號,曾雄威,"$939,722,760","93,972,276"
8481,政伸,20,台中市西屯區工業區十二路六號,洪國智,"$666,018,660","66,601,866"
8482,商億-KY,38,"P.O.Box 31119 Grand pavilion,Hibiscus Way,802 West Bay Road,",林芳毅,"$1,074,440,000","107,444,000"
8487,愛爾達-創,36,台北市中正區中華路一段41號4樓,江瑋玲,"$265,350,000","26,535,000"
8488,吉源-KY,20,"P. O. Box 31119 Grand Pavilion, Hibiscus Way, 802 West Bay R",林子閔,"$735,000,000","73,500,000"
8499,鼎炫-KY,31,新北市五股區五權七路20號1樓,傅秀月,"$411,655,570","41,165,557"
8926,台汽電,23,北市內湖區瑞光路392號6樓,陳意通,"$7,302,820,000","730,282,000"
8940,新天地,16,台中市東區旱溪東路1段456號,陳銘琿,"$674,910,320","67,491,032"
8996,高力,5,桃園市中壢區吉林北路5-2號,吳俊英,"$922,482,770","92,248,277"
9103,美德醫療-DR,91,台北市信義區松高路9號11樓,林逸清,"$827,042,000","549,411,240"
910322,康師傅-DR,91,中國上海閔行區吳中路1688號A棟,林清棠,"$916,513,457","5,620,600,000"
9105,泰金寶-DR,91,新北市深坑區北深路三段147號,周怡君,"$9,383,139,832","10,450,002,831"
910861,神州-DR,91,香港灣仔告士打道77-79 號富通大廈31樓,董帥,"$644,726,418","1,672,768,386"
9110,越南控-DR,91,越南同奈省邊和市三協坊第五區,吳睿蕎,"$38,168,000","907,680,000"
911608,明輝-DR,91,"8 Penjuru Lane,Singapore 609189",林翔寬,"$526,896,000","480,000,000"
911622,泰聚亨-DR,91,"99 Moo1, Tumbon Nikompattana, Amphur Nikompattana, Rayong TH",黃炳綸,"$3,714,761,903","596,748,900"
911868,同方友友-DR,91,香港干諾道西118號34樓3405 室,謝漢良,"$356,242,582","2,109,163,417"
912000,晨訊科-DR,91,香港觀塘鴻圖道31號鴻貿中心12樓1206室,朱文輝,"$1,063,575,000","2,362,546,300"
9136,巨騰-DR,91,香港康樂廣場1號怡和大廈33樓3311-3312室,黃正斌,"$440,764,000","1,200,008,445"
9802,鈺齊-KY,37,臺灣雲林縣斗六市雲科路三段76號(訴訟及非訴訟代理人聯絡處),廖志誠,"$2,009,916,730","200,991,673"
9902,台火,20,台北市中正區延平南路七十五號二、三樓,陳文正,"$980,496,000","98,049,600"
